code,libelle,etat,insee_commune,nom_commune,mo_raison_sociale,x,y,precision_coord,categorie,puissance_maximum,productible_moyen,debit,coef_energetique,nb_turbines,type_turbine,titre,date_echeance_titre,hauteur_de_chute
64430001,CASTETARBES,EXPL,64430,Orthez,ELECTRICITE DE FRANCE,392738.0,6272800.0,0,Ouvrage fonctionnant au fil de l'eau,1.3,7858429.0,36.0,"0,010000",3.0,Francis,Autorisée,1994-10-16,8.2
64430002,Usine d'Orthez,EXPL,64430,Orthez,SUO ENERGIE,394872.0,6272300.0,0,Ouvrage fonctionnant au fil de l'eau,4.2,9495792.0,,,,,,,4.8
64443001,Centrale de Pardies,EXPL,64443,Pardies,SOCIETE HYDROELECTRIQUE ET IMMOBILIERE DU SUD,409246.0,6260700.0,0,Ouvrage fonctionnant au fil de l'eau,,20243046.0,,,,,,,5.85
64445001,CENTRALE DU PONT D'ESPAGNE,EXPL,64445,Pau,CENTRALE DU PONT D'ESPAGNE,425203.0,6249730.0,0,Ouvrage fonctionnant au fil de l'eau,1.1,7668080.0,16.3,,,,Autorisée,,7.06
64449001,Centrale Guerlain,EXPL,64449,Poey-d'Oloron,SOCIETE HYDROELECTRIQUE D'ENERGIE,401279.0,6246670.0,0,Ouvrage fonctionnant au fil de l'eau,1.24,5113497.0,80.0,,2.0,Kaplan,,,4.64
64461001,PUYOO,EXPL,64461,Puyoô,ELECTRICITE DE FRANCE,383844.0,6276670.0,0,Ouvrage fonctionnant au fil de l'eau,0.7,3561375.0,23.3,"0,007000",3.0,Kaplan,Autorisée,1994-10-16,4.9
64463001,Centrale Robert,EXPL,64463,Rébénacq,GONZALES MARIE THERESE CATHERINE,423890.94,6236285.0,0,Ouvrage fonctionnant au fil de l'eau,,1367740.0,,,,,,,10.0
64475001,Ste ENGRACE,EXPL,64475,Sainte-Engrâce,SOCIETE HYDRO ELECTRIQUE DU MIDI,385968.0,6219230.0,0,Ouvrage fonctionnant par éclusées,1.04,3703344.0,10.0,"0,025000",1.0,Francis,Concédée,2069-12-31,13.0
64475002,Laverna,EXPL,64475,Sainte-Engrâce,SOCIETE HYDRO ELECTRIQUE DU MIDI,390209.0,6216340.0,0,Ouvrage fonctionnant au fil de l'eau,3.9,10728411.0,,,,,,,530.5
64477001,Centrale de Chantienia,EXPL,64477,Saint-Étienne-de-Baïgorry,INDARRA,348335.0,6243640.0,0,Ouvrage fonctionnant au fil de l'eau,0.25,796615.0,,,,,,,4.5
64477002,Centrale de Laka,EXPL,64477,Saint-Étienne-de-Baïgorry,ITURBURUA HARIGNORDOQUY MARIE THERESE,344655.0,6237100.0,0,Ouvrage fonctionnant au fil de l'eau,0.13,605316.0,,,,,,,5.45
64477003,Moulin d'Etchaux,EXPL,64477,Saint-Étienne-de-Baïgorry,SOCIETE HYDRO. DU MOULIN D'ETCHAUX,345891.0,6240090.0,0,Ouvrage fonctionnant au fil de l'eau,0.54,1304953.0,6.9,,,,,,8.0
64485001,Usine de St Jean Pied de Port,EXPL,64485,Saint-Jean-Pied-de-Port,GALANT ENEKO,355176.0,6238540.0,0,Ouvrage fonctionnant au fil de l'eau,,485000.0,,,,,,,3.95
64490001,Centrale de Berrhoko Eyherra,EXPL,64490,Saint-Martin-d'Arrossa,INDARRA,350296.0,6247560.0,0,Ouvrage fonctionnant au fil de l'eau,0.35,1393033.0,,,,,,,4.0
64508001,Centrale de Saucède,EXPL,64508,Saucède,S.A.R.L. MICQ,400427.0,6247640.0,0,Ouvrage fonctionnant au fil de l'eau,0.25,1165709.0,9.0,,1.0,Kaplan,,,3.6
64530001,Centrale de Susmiou,EXPL,64530,Susmiou,S.A.R.L. MASSEYS,394884.0,6253840.0,0,Ouvrage fonctionnant au fil de l'eau,0.5,,15.0,,1.0,Kaplan,Autorisée,,3.39
64533001,Moulin Gameta,EXPL,64533,Tardets-Sorholus,LEGAUX MICHEL LUCIEN MARCEL,385751.0,6230910.0,0,Ouvrage fonctionnant au fil de l'eau,0.036,,1.5,,,,Autorisée,,3.5
64537001,Centrale de Trois Villes,EXPL,64537,Trois-Villes,SOC. HYDROELECTRIQUE DE GOTEIN,384120.0,6232970.0,0,Ouvrage fonctionnant au fil de l'eau,,778233.0,,,,,,,5.0
64547001,Moulin d'Arki,EXPL,64547,Ustaritz,SHEN - SOC HYDRO ELECTRIQUE DE LA NIVE,338819.0,6266370.0,0,Ouvrage fonctionnant au fil de l'eau,,1145354.0,,,,,,,2.2
